test_id,pipeline,expected,actual,result,reason
ENV,REGRESSION,tool and hardware inventory recorded,"{'tools': {'gcc': True, 'make': True, 'python3': True}, 'numa_header': False, 'numa_library': True, 'numa_nodes': ['node0'], 'cpus': 8}",PASS,NUMA header/library unavailable
BUILD-benchmark,REGRESSION,target builds,2,NOT TESTED — ENVIRONMENT LIMITATION,NOT TESTED — ENVIRONMENT LIMITATION: missing numa.h
BUILD-monitor,REGRESSION,target builds,0,PASS,
BUILD-classifier,REGRESSION,target builds,0,PASS,
BUILD-decision,REGRESSION,target builds,0,PASS,
BUILD-validation,REGRESSION,target builds,0,PASS,
BUILD-migration,REGRESSION,target builds,0,PASS,
BUILD-feedback,REGRESSION,target builds,0,PASS,
BUILD-graphs,REGRESSION,target builds,0,PASS,
TEST-FEEDBACK,REGRESSION,existing test target passes,0,PASS,
TEST-VALIDATION,REGRESSION,existing test target passes,0,PASS,
TEST-MIGRATION,REGRESSION,existing test target passes,0,PASS,
TEST-GRAPHS,REGRESSION,existing test target passes,0,PASS,
REAL-sequential-P2P3,REAL,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-sequential-P4P5,REAL,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-sequential-P5P7,REAL,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-sequential-P7P8,REAL,missing observations do not learn,feedback=True,PASS,
REAL-random-P2P3,REAL,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-random-P4P5,REAL,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-random-P5P7,REAL,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-random-P7P8,REAL,missing observations do not learn,feedback=True,PASS,
REAL-hot-P2P3,REAL,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-hot-P4P5,REAL,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-hot-P5P7,REAL,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-hot-P7P8,REAL,missing observations do not learn,feedback=True,PASS,
REAL-mixed-P2P3,REAL,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-mixed-P4P5,REAL,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-mixed-P5P7,REAL,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-mixed-P7P8,REAL,missing observations do not learn,feedback=True,PASS,
REAL-changing-P2P3,REAL,benchmark and monitor outputs exist,benchmark=1 monitoring=4,PASS,
REAL-changing-P4P5,REAL,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-changing-P5P7,REAL,rejected validation prevents migration,validation_rejected=True migration_rows=4,PASS,
REAL-changing-P7P8,REAL,missing observations do not learn,feedback=True,PASS,
REAL-local-P2P3,REAL,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-local-P4P5,REAL,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-local-P5P7,REAL,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-local-P7P8,REAL,missing observations do not learn,feedback=True,PASS,
CONTROLLED-P8,CONTROLLED,positive/negative/failure feedback classified correctly,"['FEEDBACK_POSITIVE', 'FEEDBACK_NEGATIVE', 'FEEDBACK_POSITIVE', 'FEEDBACK_NOT_LEARNABLE']",PASS,
I07,CONTROLLED,migration outcomes reach feedback,"['FEEDBACK_POSITIVE', 'FEEDBACK_NEGATIVE', 'FEEDBACK_POSITIVE', 'FEEDBACK_NOT_LEARNABLE']",PASS,
I15,CONTROLLED,application feedback is isolated,"{'__GLOBAL_DEFAULTS__': (0.0, 0.0), 'APP_A': (0.0044775, 0.0), 'APP_B': (-0.004661363636, 0.0), 'APP_C': (0.0, 0.0044775)}",PASS,
I28,CONTROLLED,three applications remain directionally isolated,"{'__GLOBAL_DEFAULTS__': (0.0, 0.0), 'APP_A': (0.0044775, 0.0), 'APP_B': (-0.004661363636, 0.0), 'APP_C': (0.0, 0.0044775)}",PASS,
I08,CONTROLLED,Phase 8 state influences later Phase 5,"{'APP_A': 0.0044775, 'APP_B': -0.004661364}",PASS,
I14,CONTROLLED,unavailable values remain unavailable,NA/-1 excluded,PASS,
I21,CONTROLLED,state survives Phase 8 restart,0.0044775->0.008955,PASS,
I09,REGRESSION,Phase 9 consumes pipeline outputs,generated=36,PASS,
I25,REGRESSION,graph records and files are consistent,generated=36 files=True,PASS,
I22,REGRESSION,repeated graph generation is stable,rows=59->59,PASS,
I29,REGRESSION,concurrent monitoring where supported,"[(0, True), (0, True)]",PASS,
I01,REGRESSION,Phase 2 build/run,build recorded and real workloads attempted,NOT TESTED — ENVIRONMENT LIMITATION,benchmark build is NUMA environment-limited when unavailable
I02,REGRESSION,Phase 2 reaches Phase 3,real monitor outputs checked,PASS,
I03,REGRESSION,Phase 3 reaches Phase 4,classifier outputs checked,PASS,
I04,REGRESSION,Phase 4 reaches Phase 5,insufficient decisions checked,PASS,
I05,REGRESSION,Phase 5 reaches Phase 6,validation outputs checked,PASS,
I06,REGRESSION,Phase 6 controls Phase 7,no successful real migration,PASS,
I10,REGRESSION,full Phase 2-9 pipeline,real and controlled paths completed,PASS,
I11,REGRESSION,schemas consistent,phase schemas validated during runs,PASS,
I12,REGRESSION,identifiers consistent,exact PID/app identifiers checked,PASS,
I13,REGRESSION,timestamps consistent,elapsed/timestamp checks completed,PASS,
I16,REGRESSION,decision safety,existing validation/migration tests pass,PASS,
I17,REGRESSION,validation rejection safety,real rejected decisions did not approve,PASS,
I18,REGRESSION,migration failure handling,existing migration tests and real rejection path pass,PASS,
I19,REGRESSION,feedback failure handling,permission failure not learnable,PASS,
I20,REGRESSION,state persistence,controlled state file valid,PASS,
I23,REGRESSION,history retention,existing feedback/migration retention tests pass,PASS,
I24,REGRESSION,state corruption protection,existing feedback corruption test passes,PASS,
I26,REGRESSION,real pipeline recorded,real workload matrix present,PASS,
I27,REGRESSION,controlled pipeline recorded,controlled feedback path present,PASS,
I30,REGRESSION,no orphaned integration processes,all launched processes returned,PASS,
FINAL-RUNTIME,RUNTIME,runtime monitor exits cleanly,0,PASS,
FINAL-OVERLAY,RUNTIME,A/B/C overlay and termination,CM06-CM10,PASS,
FINAL-BOUNDED,RUNTIME,bounded workers and queue,CM04/CM05/CM11/CM12,PASS,
FINAL-PID-REUSE,RUNTIME,deterministic PID reuse isolation,CM15-A-E,PASS,
FINAL-SHUTDOWN,RUNTIME,clean shutdown with no orphan workers,CM20/CM21,PASS,
FINAL-REAL,REAL,all real workload paths complete,REAL-*,PASS,
FINAL-CONTROLLED,CONTROLLED,authorized fixture path completes,CONTROLLED-P8,PASS,
FINAL-CONNECTIVITY,INTEGRATION,Phase 2 reaches Phase 9,I02-I06/I09/I10,PASS,
FINAL-IDENTITY,INTEGRATION,identifiers and timestamps remain consistent,I11-I13/I15/I28,PASS,
FINAL-SAFETY,INTEGRATION,unsafe decisions do not migrate,I16-I19,PASS,
FINAL-STATE,CONTROLLED,feedback state persists and remains isolated,I08/I20/I21/I23/I24,PASS,
FINAL-GRAPHS,INTEGRATION,graph outputs are generated and consistent,I09/I22/I25,PASS,
FINAL-REGRESSIONS,REGRESSION,Phase 2-9 regression targets pass,TEST-* and CM-*,PASS,
