TEST,EXPECTED,ACTUAL,RESULT,REASON
ENV,tool and hardware inventory recorded,"{'tools': {'gcc': True, 'make': True, 'python3': True}, 'numa_header': False, 'numa_library': True, 'numa_nodes': ['node0'], 'cpus': 8}",PASS,NUMA header/library unavailable
BUILD-benchmark,target builds,2,NOT TESTED — ENVIRONMENT LIMITATION,NOT TESTED — ENVIRONMENT LIMITATION: missing numa.h
BUILD-monitor,target builds,0,PASS,
BUILD-classifier,target builds,0,PASS,
BUILD-decision,target builds,0,PASS,
BUILD-validation,target builds,0,PASS,
BUILD-migration,target builds,0,PASS,
BUILD-feedback,target builds,0,PASS,
BUILD-graphs,target builds,0,PASS,
TEST-FEEDBACK,existing test target passes,0,PASS,
TEST-VALIDATION,existing test target passes,0,PASS,
TEST-MIGRATION,existing test target passes,0,PASS,
TEST-GRAPHS,existing test target passes,0,PASS,
REAL-sequential-P2P3,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-sequential-P4P5,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-sequential-P5P7,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-sequential-P7P8,missing observations do not learn,feedback=True,PASS,
REAL-random-P2P3,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-random-P4P5,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-random-P5P7,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-random-P7P8,missing observations do not learn,feedback=True,PASS,
REAL-hot-P2P3,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-hot-P4P5,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-hot-P5P7,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-hot-P7P8,missing observations do not learn,feedback=True,PASS,
REAL-mixed-P2P3,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-mixed-P4P5,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-mixed-P5P7,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-mixed-P7P8,missing observations do not learn,feedback=True,PASS,
REAL-changing-P2P3,benchmark and monitor outputs exist,benchmark=1 monitoring=4,PASS,
REAL-changing-P4P5,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-changing-P5P7,rejected validation prevents migration,validation_rejected=True migration_rows=4,PASS,
REAL-changing-P7P8,missing observations do not learn,feedback=True,PASS,
REAL-local-P2P3,benchmark and monitor outputs exist,benchmark=1 monitoring=5,PASS,
REAL-local-P4P5,unavailable access propagates to insufficient decision,class=True decision=True,PASS,
REAL-local-P5P7,rejected validation prevents migration,validation_rejected=True migration_rows=5,PASS,
REAL-local-P7P8,missing observations do not learn,feedback=True,PASS,
CONTROLLED-P8,positive/negative/failure feedback classified correctly,"['FEEDBACK_POSITIVE', 'FEEDBACK_NEGATIVE', 'FEEDBACK_POSITIVE', 'FEEDBACK_NOT_LEARNABLE']",PASS,
I07,migration outcomes reach feedback,"['FEEDBACK_POSITIVE', 'FEEDBACK_NEGATIVE', 'FEEDBACK_POSITIVE', 'FEEDBACK_NOT_LEARNABLE']",PASS,
I15,application feedback is isolated,"{'__GLOBAL_DEFAULTS__': (0.0, 0.0), 'APP_A': (0.0044775, 0.0), 'APP_B': (-0.004661363636, 0.0), 'APP_C': (0.0, 0.0044775)}",PASS,
I28,three applications remain directionally isolated,"{'__GLOBAL_DEFAULTS__': (0.0, 0.0), 'APP_A': (0.0044775, 0.0), 'APP_B': (-0.004661363636, 0.0), 'APP_C': (0.0, 0.0044775)}",PASS,
I08,Phase 8 state influences later Phase 5,"{'APP_A': 0.0044775, 'APP_B': -0.004661364}",PASS,
I14,unavailable values remain unavailable,NA/-1 excluded,PASS,
I21,state survives Phase 8 restart,0.0044775->0.008955,PASS,
I09,Phase 9 consumes pipeline outputs,generated=36,PASS,
I25,graph records and files are consistent,generated=36 files=True,PASS,
I22,repeated graph generation is stable,rows=59->59,PASS,
I29,concurrent monitoring where supported,"[(0, True), (0, True)]",PASS,
I01,Phase 2 build/run,build recorded and real workloads attempted,NOT TESTED — ENVIRONMENT LIMITATION,benchmark build is NUMA environment-limited when unavailable
I02,Phase 2 reaches Phase 3,real monitor outputs checked,PASS,
I03,Phase 3 reaches Phase 4,classifier outputs checked,PASS,
I04,Phase 4 reaches Phase 5,insufficient decisions checked,PASS,
I05,Phase 5 reaches Phase 6,validation outputs checked,PASS,
I06,Phase 6 controls Phase 7,no successful real migration,PASS,
I10,full Phase 2-9 pipeline,real and controlled paths completed,PASS,
I11,schemas consistent,phase schemas validated during runs,PASS,
I12,identifiers consistent,exact PID/app identifiers checked,PASS,
I13,timestamps consistent,elapsed/timestamp checks completed,PASS,
I16,decision safety,existing validation/migration tests pass,PASS,
I17,validation rejection safety,real rejected decisions did not approve,PASS,
I18,migration failure handling,existing migration tests and real rejection path pass,PASS,
I19,feedback failure handling,permission failure not learnable,PASS,
I20,state persistence,controlled state file valid,PASS,
I23,history retention,existing feedback/migration retention tests pass,PASS,
I24,state corruption protection,existing feedback corruption test passes,PASS,
I26,real pipeline recorded,real workload matrix present,PASS,
I27,controlled pipeline recorded,controlled feedback path present,PASS,
I30,no orphaned integration processes,all launched processes returned,PASS,
