test_id,pipeline,workload,app_id,pid,phase,input_source,output_source,identifier_status,timestamp_status,schema_status,decision_status,validation_status,migration_status,feedback_status,graph_status,overall_result,reason
REAL-sequential,REAL,sequential,REAL_SEQUENTIAL,276201,2-9,results/real_sequential_benchmark.csv,results/real_sequential_feedback.csv,MATCH,VALID,VALID,INSUFFICIENT_DECISION_SIGNAL,REJECTED,NO_SUCCESS,NO_UPDATE,GENERATED,PASS,real instrumentation limitation
REAL-random,REAL,random,REAL_RANDOM,276210,2-9,results/real_random_benchmark.csv,results/real_random_feedback.csv,MATCH,VALID,VALID,INSUFFICIENT_DECISION_SIGNAL,REJECTED,NO_SUCCESS,NO_UPDATE,GENERATED,PASS,real instrumentation limitation
REAL-hot,REAL,hot,REAL_HOT,276219,2-9,results/real_hot_benchmark.csv,results/real_hot_feedback.csv,MATCH,VALID,VALID,INSUFFICIENT_DECISION_SIGNAL,REJECTED,NO_SUCCESS,NO_UPDATE,GENERATED,PASS,real instrumentation limitation
REAL-mixed,REAL,mixed,REAL_MIXED,276228,2-9,results/real_mixed_benchmark.csv,results/real_mixed_feedback.csv,MATCH,VALID,VALID,INSUFFICIENT_DECISION_SIGNAL,REJECTED,NO_SUCCESS,NO_UPDATE,GENERATED,PASS,real instrumentation limitation
REAL-changing,REAL,changing,REAL_CHANGING,276237,2-9,results/real_changing_benchmark.csv,results/real_changing_feedback.csv,MATCH,VALID,VALID,INSUFFICIENT_DECISION_SIGNAL,REJECTED,NO_SUCCESS,NO_UPDATE,GENERATED,PASS,real instrumentation limitation
REAL-local,REAL,local,REAL_LOCAL,276246,2-9,results/real_local_benchmark.csv,results/real_local_feedback.csv,MATCH,VALID,VALID,INSUFFICIENT_DECISION_SIGNAL,REJECTED,NO_SUCCESS,NO_UPDATE,GENERATED,PASS,real instrumentation limitation
CONTROLLED-memory-positive,CONTROLLED,memory-positive,APP_A,2001,5-9,results/controlled_feedback_input.csv,results/controlled_feedback_results.csv,MATCH,VALID,VALID,AUTHORIZED,APPROVED,SUCCESS,POSITIVE,GENERATED,PASS,controlled fixture; not a real NUMA result
CONTROLLED-memory-negative,CONTROLLED,memory-negative,APP_B,2002,5-9,results/controlled_feedback_input.csv,results/controlled_feedback_results.csv,MATCH,VALID,VALID,AUTHORIZED,APPROVED,SUCCESS,NEGATIVE,GENERATED,PASS,controlled fixture; not a real NUMA result
CONTROLLED-thread-positive,CONTROLLED,thread-positive,APP_C,2003,5-9,results/controlled_feedback_input.csv,results/controlled_feedback_results.csv,MATCH,VALID,VALID,AUTHORIZED,APPROVED,SUCCESS,POSITIVE,GENERATED,PASS,controlled fixture; not a real NUMA result
CONTROLLED-permission-failure,CONTROLLED,permission-failure,APP_A,2001,5-9,results/controlled_feedback_input.csv,results/controlled_feedback_results.csv,MATCH,VALID,VALID,AUTHORIZED,APPROVED,PERMISSION_DENIED,NOT_LEARNABLE,GENERATED,PASS,controlled fixture; not a real NUMA result
RUNTIME-APP_A,RUNTIME,overlay,APP_A,controlled,2-3,controlled runtime discovery,results/continuous_monitoring_results.csv,VALIDATED,VALIDATED,VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,CM14/CM16 verify exact app-keyed paths; label is controlled test identity
RUNTIME-APP_B,RUNTIME,overlay,APP_B,controlled,2-3,controlled runtime discovery,results/continuous_monitoring_results.csv,VALIDATED,VALIDATED,VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,CM14/CM16 verify exact app-keyed paths; label is controlled test identity
RUNTIME-APP_C,RUNTIME,overlay,APP_C,controlled,2-3,controlled runtime discovery,results/continuous_monitoring_results.csv,VALIDATED,VALIDATED,VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PASS,CM14/CM16 verify exact app-keyed paths; label is controlled test identity
