command,result,notes
make test-runtime,PASS,./bin/awavma-runtime-test | AR01: PASS | AR02: PASS | AR03: PASS | AR04: PASS | AR05: PASS | AR06: PASS | AR07: PASS | ./bin/runtime-target-filter-test | RTF01: PASS | RTF02: PASS | RTF03: PASS | RTF04: PASS | python3 tests/runtime_target_filter_cli_test.py | RTFCLI01: PASS | RTFCLI02: PASS | RTFCLI03: PASS | RTFCLI04: PASS
make test-discovery-cadence,PASS,./bin/discovery-cadence-test | DC00: PASS | DC03: PASS | DC01: PASS | DC02: PASS | DC04: PASS | DC07: PASS | DC08: PASS | DC05: PASS | DC09: PASS | DC06: PASS | Discovery cadence tests: PASS | python3 tests/discovery_cadence_cli_test.py | DC10[0]: PASS | DC10[-1]: PASS | DC10[invalid]: PASS | DC10[999999999999999999999999999999999999]: PASS
make test-continuous-monitor,FAIL,: PASS | W07: PASS | W08: PASS | W09: PASS | W10: PASS | W11: PASS | W12: PASS | W13: PASS | W14: PASS | W15: PASS | W16: PASS | W17: PASS | W18: PASS | W19: PASS | W20: PASS | W21: PASS | W22: PASS | W23: PASS | W24: PASS | W25: PASS | Worker pool tests: PASS | make[1]: Leaving directory '/home/rishi/major_project' | AWAVMA_REGRESSION_VERIFIED=1 ./bin/continuous-monitor-test | CM01: PASS | CM02: PASS | CM03: PASS | CM04: PASS | CM05: PASS | CM06: PASS | CM07: PASS | CM08: PASS | CM09: PASS | CM10: FAIL | CM13: PASS | CM14: PASS | CM16: PASS | CM17: PASS | CM20: PASS | CM21: PASS | CM22: PASS | CM18: PASS | CM19: PASS | CM11: PASS | CM12: PASS | CM12-queue: PASS | CM15-A: PASS | CM15-B: PASS | CM15-C: PASS | CM15-D: PASS | CM15-E: PASS | CM23: PASS | CM24: PASS | CM25: PASS | Continuous monitoring tests: FAIL | Error: target PID 275135 is unavailable for one sample. | CM10 diagnostic: status=TARGET_GONE submissions=10 before=8 | make: *** [Makefile:139: test-continuous-monitor] Error 1
make test-continuous-monitor (rerun),PASS,first failure:  | CM15-C: PASS | CM15-D: PASS | CM15-E: PASS | CM23: PASS | CM24: PASS | CM25: PASS | Continuous monitoring tests: FAIL | Error: target PID 275135 is unavailable for one sample. | CM10 diagnostic: status=TARGET_GONE submissions=10 before=8 | make: *** [Makefile:139: test-continuous-monitor] Error 1 | rerun: g directory '/home/rishi/major_project' | AWAVMA_REGRESSION_VERIFIED=1 ./bin/continuous-monitor-test | CM01: PASS | CM02: PASS | CM03: PASS | CM04: PASS | CM05: PASS | CM06: PASS | CM07: PASS | CM08: PASS | CM09: PASS | CM10: PASS | CM13: PASS | CM14: PASS | CM16: PASS | CM17: PASS | CM20: PASS | CM21: PASS | CM22: PASS | CM18: PASS | CM19: PASS | CM11: PASS | CM12: PASS | CM12-queue: PASS | CM15-A: PASS | CM15-B: PASS | CM15-C: PASS | CM15-D: PASS | CM15-E: PASS | CM23: PASS | CM24: PASS | CM25: PASS | Continuous monitoring tests: PASS | Error: target PID 275250 is unavailable for one sample.
make test-validation,PASS,sh tests/run_validation_fixtures.sh | Validation fixtures passed.
make test-feedback,PASS,F25 | invalid state preserved and rejected | FEEDBACK_INVALID_STATE | PASS | F26 | 3 feedback records retained | header plus 3 records | PASS | F27 | original history preserved on compaction failure | original retained | PASS | F28 | identical event/state is deterministic | identical reward and state | PASS | I01 | approved beneficial memory integration | FEEDBACK_UPDATED | PASS | I02 | approved harmful memory integration | FEEDBACK_UPDATED | PASS | I03 | approved beneficial thread integration | FEEDBACK_UPDATED | PASS | I04 | approved harmful thread integration | FEEDBACK_UPDATED | PASS | I05 | real insufficient pipeline produces no learning | FEEDBACK_NO_UPDATE | PASS | ADAPT | APP_A trends up and APP_B trends down | opposite isolated trends | PASS | STABILITY | finite bounded opposite movement | positive then negative bounded | PASS | LEARNING_RATE | 0.01 < 0.05 < 0.10 update magnitude | monotonic update magnitude | PASS | sh tests/run_feedback_cli.sh | Feedback CLI fixtures passed.
make test-migration,PASS,"ry rejection | not safely reproduced | NOT TESTED — ENVIRONMENT LIMITATION | T23 | MIGRATION_TARGET_GONE | MIGRATION_TARGET_GONE | PASS | T24 | MIGRATION_TARGET_GONE | MIGRATION_TARGET_GONE | PASS | T25 | successful migration CSV record | record present | PASS | T26 | failed migration CSV record | record present | PASS | T27 | human-readable migration log | record present | PASS | T28 | 3 records retained | 3 records retained | PASS | T29 | old record removed, new retained | cleanup executed | PASS | T30 | original history preserved on cleanup failure | original retained | PASS | T31 | MIGRATION_SUCCESS | MIGRATION_SUCCESS | PASS | T32 | MIGRATION_NOT_AUTHORIZED and unchanged affinity | MIGRATION_NOT_AUTHORIZED | PASS | T33 | remote NUMA migration only with >=2 nodes | 1 NUMA node | NOT TESTED — ENVIRONMENT LIMITATION | T34 overhead | expected execution overhead measurements | min=0.028 ms max=0.038 ms avg=0.031 ms | PASS | sh tests/run_migration_cli.sh | Migration CLI fixtures passed."
make test-phase46-pipeline,PASS,cc -std=c11 -O2 -Wall -Wextra -Wpedantic -D_GNU_SOURCE -Iinclude -DAWAVMA_PROFILE -o bin/profile-awavma-runtime src/awavma_runtime.c src/awavma_runtime_main.c src/runtime_target_filter.c src/classifier.c src/runtime_monitor.c src/application_manager.c src/application_discovery.c src/worker_pool.c src/monitor.c src/monitor_profile.c -pthread  -lm | python3 tests/phase46_pipeline_test.py | P46-01: PASS | P46-02: PASS | P46-03: PASS | P46-04: PASS | P46-05: PASS | P46-06: PASS | P46-07: NOT APPLICABLE (pipeline concurrency not enabled) | P46-08: NOT APPLICABLE (Phase 5 remains a subprocess) | P46-09: PASS | P46-10: PASS
make test-phase56-subprocess-profile,PASS,python3 scripts/generate_phase56_investigation_graphs.py --root /home/rishi/major_project | Phase56 investigation graphs: generated=5 no_data=2 | python3 tests/phase56_subprocess_profile_test.py | P56-01: PASS | P56-02: PASS | P56-03: PASS | P56-04: PASS | P56-05: PASS | P56-06: PASS
python3 tests/final_integration_test.py,PASS,"Final integration results: 81 records, failures=0"
python3 tests/system_regression_test.py,PASS,System regression: total=54 pass=53 fail=0 not_tested=1 not_applicable=0
