TEST_ID,CATEGORY,APPLICATION,INPUT_TYPE,EXPECTED,ACTUAL,RESULT,REASON
ENVIRONMENT,ENVIRONMENT,SYSTEM,ENVIRONMENT,inventory recorded,"{'cpu_count': 8, 'numa_nodes': ['node0'], 'numa_node_count': 1, 'libnuma': True, 'headers': {'numa.h': False, 'numaif.h': False, 'pthread.h': True}, 'tools': {'gcc': True, 'make': True, 'python3': True}, 'python': '3.14.4', 'gcc': 'gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0', 'graph_dependencies': {'matplotlib': False, 'numpy': False, 'pandas': False}}",PASS,NUMA hardware/header limitations are recorded separately
BUILD-benchmark,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=2,NOT TESTED — ENVIRONMENT LIMITATION,remote NUMA dependency unavailable
BUILD-monitor,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-classifier,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-decision,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-validation,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-migration,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-feedback,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-graphs,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-application-discovery,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-application-manager,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-worker-pool,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
BUILD-continuous-monitor,A-BUILD,SYSTEM,ENVIRONMENT,target builds,returncode=0,PASS,
MODULE-application-discovery,B-MODULE,SYSTEM,REAL+CONTROLLED,existing module test target passes,returncode=0; 13 labeled test records,PASS,
MODULE-application-manager,B-MODULE,SYSTEM,REAL+CONTROLLED,existing module test target passes,returncode=0; 18 labeled test records,PASS,
MODULE-worker-pool,B-MODULE,SYSTEM,REAL+CONTROLLED,existing module test target passes,returncode=0; 25 labeled test records,PASS,
MODULE-continuous-monitor,B-MODULE,SYSTEM,REAL+CONTROLLED,existing module test target passes,returncode=0; 30 labeled test records,PASS,
MODULE-validation,B-MODULE,SYSTEM,REAL+CONTROLLED,existing module test target passes,returncode=0; 7 gate assertions + 5 validation fixture rows,PASS,
MODULE-migration,B-MODULE,SYSTEM,REAL+CONTROLLED,existing module test target passes,returncode=0; 34 labeled test records,PASS,
MODULE-feedback,B-MODULE,SYSTEM,REAL+CONTROLLED,existing module test target passes,returncode=0; 35 labeled test records,PASS,
MODULE-graphs,B-MODULE,SYSTEM,REAL+CONTROLLED,existing module test target passes,returncode=0; 31 labeled test records,PASS,
PIPELINE-FINAL,C-REAL+D-CONTROLLED,A/B/C + workloads,REAL+CONTROLLED,complete Phase 2-9 integration,returncode=0; records=81,PASS,
CONTROLLED-CHAIN,D-CONTROLLED,APP_A/APP_B/APP_C,CONTROLLED,Phase 4 through Phase 9 chain,"{'classification': 10, 'decision': 3, 'validation': 3, 'migration': 3, 'feedback': 3, 'graphs': 33}",PASS,controlled access fixture and downstream schemas; not NUMA measurement
J1,J-SAFETY,mig-roi,CONTROLLED,MOVE_MEMORY rejected,MIGRATION_NOT_AUTHORIZED,PASS,
J2,J-SAFETY,mig-veto,CONTROLLED,MOVE_THREAD rejected,MIGRATION_NOT_AUTHORIZED,PASS,
J3,J-SAFETY,mig-none,CONTROLLED,NO_MIGRATION no action,MIGRATION_NO_ACTION,PASS,
J4,J-SAFETY,mig-signal,CONTROLLED,insufficient signal no migration,MIGRATION_INSUFFICIENT_INFORMATION,PASS,
J5,J-SAFETY,mig-veto,CONTROLLED,safety hard veto,MIGRATION_NOT_AUTHORIZED,PASS,
C-REAL-WORKLOADS,C-REAL,APP_A/APP_B/APP_C,REAL+CONTROLLED,sequential/random/hot/mixed/changing/local complete,six REAL workloads,PASS,
E-ISOLATION,E-ISOLATION,APP_A/APP_B/APP_C,REAL+CONTROLLED,APP_A/B/C state isolated,I15/I28/CM14/CM16,PASS,
F-ARRIVAL,F-LIFECYCLE,APP_A/APP_B/APP_C,REAL+CONTROLLED,A then B then C are all monitored,CM06-CM08,PASS,
G-TERMINATION,G-LIFECYCLE,APP_A/APP_B/APP_C,REAL+CONTROLLED,B stops while A/C continue,CM09/CM10,PASS,
H-PID-REUSE,H-IDENTITY,APP_A/APP_B/APP_C,REAL+CONTROLLED,PID/start-time identities remain separate,CM15-A-E,PASS,
